case,run_id,stage,status,attempt,seed,duration_ms,steps,scheduler_steps,iterations,strength,controlnet_scale,initial_module_error_rate,control_module_error_rate,final_module_error_rate,best_observed_module_error_rate,changed_pixel_ratio,mask_coverage,mean_absolute_change,unprojected_changed_pixel_ratio,unprojected_mean_absolute_change,best_observed_mean_absolute_change,accepted,rejection_reason
botanical-short,717be99f-7636-413e-9177-6d71851506d5,guided_rediffusion_completed,quality_pass,1,42,956.61,8,27,,0.3,1.75,0.06864197530864198,0.022222222222222223,0.10765432098765432,,0.4074897766113281,0.6449145148782169,0.051303723902484166,0.6235580444335938,0.09094922433491626,,True,
botanical-short,717be99f-7636-413e-9177-6d71851506d5,latent_refinement_completed,improved,1,42,1938.28,,,8,,,0.0780029296875,,0.040008544921875,0.040008544921875,,,0.027829181402921677,,,0.027829181402921677,True,
wine-label,5377002e-03e6-4e0a-bd05-a583f60b7010,guided_rediffusion_completed,quality_pass,1,137,965.38,8,27,,0.3,1.75,0.08888888888888889,0.037530864197530864,0.1145679012345679,,0.3305206298828125,0.6552625469132966,0.04204673517763225,0.5479698181152344,0.07298665763505924,,True,
wine-label,5377002e-03e6-4e0a-bd05-a583f60b7010,latent_refinement_completed,improved,1,137,1894.39,,,8,,,0.087890625,,0.06072998046875,0.06072998046875,,,0.022272324189543724,,,0.022272324189543724,True,
geometric-packaging,a9f8dfee-afe3-4d68-a84e-de44ad2a4829,guided_rediffusion_completed,quality_pass,1,2026,971.99,8,27,,0.3,1.75,0.14202415660141607,0.07871720116618076,0.15576842982090797,,0.2891426086425781,0.6716769498937271,0.039756769915811375,0.44194793701171875,0.06548954583460988,,True,
geometric-packaging,a9f8dfee-afe3-4d68-a84e-de44ad2a4829,latent_refinement_completed,improved,1,2026,1901.06,,,8,,,0.129150390625,,0.106201171875,0.106201171875,,,0.021432172507047653,,,0.021432172507047653,True,
cosmetics-organic,0a209fab-2131-4c19-b025-cf8d5d9adfc5,guided_rediffusion_completed,quality_pass,1,31415,970.41,8,27,,0.3,1.75,0.08371511870054144,0.04789670970428988,0.10745522698875469,,0.4133720397949219,0.6256124459060968,0.048880772808798004,0.6697578430175781,0.09131654726913552,,True,
cosmetics-organic,0a209fab-2131-4c19-b025-cf8d5d9adfc5,latent_refinement_completed,improved,1,31415,1901.33,,,8,,,0.0899658203125,,0.06744384765625,0.06744384765625,,,0.029970427975058556,,,0.029970427975058556,True,
industrial-technical,44f71a20-cf22-47ad-a18e-c38e0ea6f3b7,guided_rediffusion_completed,quality_pass,1,271828,974.65,8,27,,0.3,1.75,0.13702623906705538,0.08371511870054144,0.13827571845064557,,0.2737693786621094,0.6554504244935279,0.051828426784939235,0.4380531311035156,0.08948977102641187,,True,
industrial-technical,44f71a20-cf22-47ad-a18e-c38e0ea6f3b7,latent_refinement_completed,improved,1,271828,1907.98,,,8,,,0.12451171875,,0.1011962890625,0.1011962890625,,,0.03098459169268608,,,0.03098459169268608,True,
dense-payload,c4e1e5c1-9069-472d-904d-f15c82a78447,guided_rediffusion_completed,quality_pass,1,9001,1039.93,8,27,,0.3,1.75,0.2688510817055241,0.07939508506616257,0.2806133165301407,,0.7509193420410156,0.8367608911850873,0.08559054206399357,0.8422470092773438,0.10599632013856974,,True,
dense-payload,c4e1e5c1-9069-472d-904d-f15c82a78447,latent_refinement_completed,improved,1,9001,1951.47,,,8,,,0.26708984375,,0.220947265625,0.220947265625,,,0.061213694512844086,,,0.061213694512844086,True,
