case,run_id,decoder,scenario,success,exact_payload_match,latency_ms
botanical-short,717be99f-7636-413e-9177-6d71851506d5,opencv,original,True,True,9.791135787963867
botanical-short,717be99f-7636-413e-9177-6d71851506d5,zbar,original,True,True,7.316178642213345
botanical-short,717be99f-7636-413e-9177-6d71851506d5,opencv,jpeg_90,True,True,9.696226567029953
botanical-short,717be99f-7636-413e-9177-6d71851506d5,zbar,jpeg_90,True,True,7.773621939122677
botanical-short,717be99f-7636-413e-9177-6d71851506d5,opencv,jpeg_70,True,True,9.636624716222286
botanical-short,717be99f-7636-413e-9177-6d71851506d5,zbar,jpeg_70,True,True,8.320548571646214
botanical-short,717be99f-7636-413e-9177-6d71851506d5,opencv,blur_3,True,True,9.854897856712341
botanical-short,717be99f-7636-413e-9177-6d71851506d5,zbar,blur_3,True,True,5.496867001056671
botanical-short,717be99f-7636-413e-9177-6d71851506d5,opencv,brightness_low,True,True,9.61841270327568
botanical-short,717be99f-7636-413e-9177-6d71851506d5,zbar,brightness_low,True,True,7.188520394265652
botanical-short,717be99f-7636-413e-9177-6d71851506d5,opencv,brightness_high,True,True,8.96439142525196
botanical-short,717be99f-7636-413e-9177-6d71851506d5,zbar,brightness_high,True,True,6.623736582696438
botanical-short,717be99f-7636-413e-9177-6d71851506d5,opencv,contrast_low,True,True,9.635692462325096
botanical-short,717be99f-7636-413e-9177-6d71851506d5,zbar,contrast_low,True,True,6.842279806733131
botanical-short,717be99f-7636-413e-9177-6d71851506d5,opencv,downscale_75,True,True,9.782920591533184
botanical-short,717be99f-7636-413e-9177-6d71851506d5,zbar,downscale_75,True,True,7.1679288521409035
botanical-short,717be99f-7636-413e-9177-6d71851506d5,opencv,noise_gaussian,True,True,9.903392754495144
botanical-short,717be99f-7636-413e-9177-6d71851506d5,zbar,noise_gaussian,True,True,11.06568519026041
botanical-short,717be99f-7636-413e-9177-6d71851506d5,opencv,rotation_3,True,True,9.884855709969997
botanical-short,717be99f-7636-413e-9177-6d71851506d5,zbar,rotation_3,True,True,7.098292000591755
botanical-short,717be99f-7636-413e-9177-6d71851506d5,opencv,print_dot_gain,True,True,11.239736340939999
botanical-short,717be99f-7636-413e-9177-6d71851506d5,zbar,print_dot_gain,True,True,4.4498201459646225
botanical-short,717be99f-7636-413e-9177-6d71851506d5,opencv,print_dot_loss,True,True,7.964747026562691
botanical-short,717be99f-7636-413e-9177-6d71851506d5,zbar,print_dot_loss,True,True,4.263219423592091
botanical-short,717be99f-7636-413e-9177-6d71851506d5,opencv,perspective_mild,True,True,9.503087028861046
botanical-short,717be99f-7636-413e-9177-6d71851506d5,zbar,perspective_mild,True,True,5.683564580976963
wine-label,5377002e-03e6-4e0a-bd05-a583f60b7010,opencv,original,True,True,8.799889124929905
wine-label,5377002e-03e6-4e0a-bd05-a583f60b7010,zbar,original,True,True,5.865304730832577
wine-label,5377002e-03e6-4e0a-bd05-a583f60b7010,opencv,jpeg_90,True,True,8.474450558423996
wine-label,5377002e-03e6-4e0a-bd05-a583f60b7010,zbar,jpeg_90,True,True,6.431346759200096
wine-label,5377002e-03e6-4e0a-bd05-a583f60b7010,opencv,jpeg_70,True,True,8.465835824608803
wine-label,5377002e-03e6-4e0a-bd05-a583f60b7010,zbar,jpeg_70,True,True,6.9032274186611176
wine-label,5377002e-03e6-4e0a-bd05-a583f60b7010,opencv,blur_3,True,True,8.068357594311237
wine-label,5377002e-03e6-4e0a-bd05-a583f60b7010,zbar,blur_3,True,True,5.266348831355572
wine-label,5377002e-03e6-4e0a-bd05-a583f60b7010,opencv,brightness_low,True,True,8.8701406493783
wine-label,5377002e-03e6-4e0a-bd05-a583f60b7010,zbar,brightness_low,True,True,6.047992967069149
wine-label,5377002e-03e6-4e0a-bd05-a583f60b7010,opencv,brightness_high,True,True,8.481715805828571
wine-label,5377002e-03e6-4e0a-bd05-a583f60b7010,zbar,brightness_high,True,True,5.816522054374218
wine-label,5377002e-03e6-4e0a-bd05-a583f60b7010,opencv,contrast_low,True,True,8.540531620383263
wine-label,5377002e-03e6-4e0a-bd05-a583f60b7010,zbar,contrast_low,True,True,5.803520791232586
wine-label,5377002e-03e6-4e0a-bd05-a583f60b7010,opencv,downscale_75,True,True,8.296944200992584
wine-label,5377002e-03e6-4e0a-bd05-a583f60b7010,zbar,downscale_75,True,True,6.1785988509655
wine-label,5377002e-03e6-4e0a-bd05-a583f60b7010,opencv,noise_gaussian,True,True,8.866150863468647
wine-label,5377002e-03e6-4e0a-bd05-a583f60b7010,zbar,noise_gaussian,True,True,9.61581151932478
wine-label,5377002e-03e6-4e0a-bd05-a583f60b7010,opencv,rotation_3,True,True,8.78557562828064
wine-label,5377002e-03e6-4e0a-bd05-a583f60b7010,zbar,rotation_3,True,True,5.826097913086414
wine-label,5377002e-03e6-4e0a-bd05-a583f60b7010,opencv,print_dot_gain,True,True,11.407324112951756
wine-label,5377002e-03e6-4e0a-bd05-a583f60b7010,zbar,print_dot_gain,True,True,4.139241762459278
wine-label,5377002e-03e6-4e0a-bd05-a583f60b7010,opencv,print_dot_loss,True,True,7.500743493437767
wine-label,5377002e-03e6-4e0a-bd05-a583f60b7010,zbar,print_dot_loss,True,True,3.3385157585144043
wine-label,5377002e-03e6-4e0a-bd05-a583f60b7010,opencv,perspective_mild,True,True,9.269608184695244
wine-label,5377002e-03e6-4e0a-bd05-a583f60b7010,zbar,perspective_mild,True,True,5.470609292387962
geometric-packaging,a9f8dfee-afe3-4d68-a84e-de44ad2a4829,opencv,original,True,True,9.242704138159752
geometric-packaging,a9f8dfee-afe3-4d68-a84e-de44ad2a4829,zbar,original,True,True,6.287343800067902
geometric-packaging,a9f8dfee-afe3-4d68-a84e-de44ad2a4829,opencv,jpeg_90,True,True,9.083257056772709
geometric-packaging,a9f8dfee-afe3-4d68-a84e-de44ad2a4829,zbar,jpeg_90,True,True,6.897996179759502
geometric-packaging,a9f8dfee-afe3-4d68-a84e-de44ad2a4829,opencv,jpeg_70,True,True,9.251869283616543
geometric-packaging,a9f8dfee-afe3-4d68-a84e-de44ad2a4829,zbar,jpeg_70,True,True,7.6309870928525925
geometric-packaging,a9f8dfee-afe3-4d68-a84e-de44ad2a4829,opencv,blur_3,True,True,9.366588667035103
geometric-packaging,a9f8dfee-afe3-4d68-a84e-de44ad2a4829,zbar,blur_3,True,True,5.776980891823769
geometric-packaging,a9f8dfee-afe3-4d68-a84e-de44ad2a4829,opencv,brightness_low,True,True,9.046350605785847
geometric-packaging,a9f8dfee-afe3-4d68-a84e-de44ad2a4829,zbar,brightness_low,True,True,6.058122962713242
geometric-packaging,a9f8dfee-afe3-4d68-a84e-de44ad2a4829,opencv,brightness_high,True,True,8.28031450510025
geometric-packaging,a9f8dfee-afe3-4d68-a84e-de44ad2a4829,zbar,brightness_high,True,True,5.6990813463926315
geometric-packaging,a9f8dfee-afe3-4d68-a84e-de44ad2a4829,opencv,contrast_low,True,True,9.048410691320896
geometric-packaging,a9f8dfee-afe3-4d68-a84e-de44ad2a4829,zbar,contrast_low,True,True,6.176150403916836
geometric-packaging,a9f8dfee-afe3-4d68-a84e-de44ad2a4829,opencv,downscale_75,True,True,8.434905670583248
geometric-packaging,a9f8dfee-afe3-4d68-a84e-de44ad2a4829,zbar,downscale_75,True,True,6.759759038686752
geometric-packaging,a9f8dfee-afe3-4d68-a84e-de44ad2a4829,opencv,noise_gaussian,True,True,9.371153078973293
geometric-packaging,a9f8dfee-afe3-4d68-a84e-de44ad2a4829,zbar,noise_gaussian,True,True,10.586748830974102
geometric-packaging,a9f8dfee-afe3-4d68-a84e-de44ad2a4829,opencv,rotation_3,True,True,9.419023059308529
geometric-packaging,a9f8dfee-afe3-4d68-a84e-de44ad2a4829,zbar,rotation_3,True,True,6.228778511285782
geometric-packaging,a9f8dfee-afe3-4d68-a84e-de44ad2a4829,opencv,print_dot_gain,True,True,11.698292568325996
geometric-packaging,a9f8dfee-afe3-4d68-a84e-de44ad2a4829,zbar,print_dot_gain,True,True,4.65130340307951
geometric-packaging,a9f8dfee-afe3-4d68-a84e-de44ad2a4829,opencv,print_dot_loss,True,True,6.699444726109505
geometric-packaging,a9f8dfee-afe3-4d68-a84e-de44ad2a4829,zbar,print_dot_loss,True,True,4.3860748410224915
geometric-packaging,a9f8dfee-afe3-4d68-a84e-de44ad2a4829,opencv,perspective_mild,True,True,8.590751327574253
geometric-packaging,a9f8dfee-afe3-4d68-a84e-de44ad2a4829,zbar,perspective_mild,True,True,5.627167411148548
cosmetics-organic,0a209fab-2131-4c19-b025-cf8d5d9adfc5,opencv,original,True,True,9.099666960537434
cosmetics-organic,0a209fab-2131-4c19-b025-cf8d5d9adfc5,zbar,original,True,True,7.073819637298584
cosmetics-organic,0a209fab-2131-4c19-b025-cf8d5d9adfc5,opencv,jpeg_90,True,True,9.153757244348526
cosmetics-organic,0a209fab-2131-4c19-b025-cf8d5d9adfc5,zbar,jpeg_90,True,True,7.615238428115845
cosmetics-organic,0a209fab-2131-4c19-b025-cf8d5d9adfc5,opencv,jpeg_70,True,True,9.03153046965599
cosmetics-organic,0a209fab-2131-4c19-b025-cf8d5d9adfc5,zbar,jpeg_70,True,True,8.269737474620342
cosmetics-organic,0a209fab-2131-4c19-b025-cf8d5d9adfc5,opencv,blur_3,True,True,8.471773006021976
cosmetics-organic,0a209fab-2131-4c19-b025-cf8d5d9adfc5,zbar,blur_3,True,True,5.843189544975758
cosmetics-organic,0a209fab-2131-4c19-b025-cf8d5d9adfc5,opencv,brightness_low,True,True,8.970089256763458
cosmetics-organic,0a209fab-2131-4c19-b025-cf8d5d9adfc5,zbar,brightness_low,True,True,6.9167958572506905
cosmetics-organic,0a209fab-2131-4c19-b025-cf8d5d9adfc5,opencv,brightness_high,True,True,8.74277576804161
cosmetics-organic,0a209fab-2131-4c19-b025-cf8d5d9adfc5,zbar,brightness_high,True,True,6.752466782927513
cosmetics-organic,0a209fab-2131-4c19-b025-cf8d5d9adfc5,opencv,contrast_low,True,True,9.04367957264185
cosmetics-organic,0a209fab-2131-4c19-b025-cf8d5d9adfc5,zbar,contrast_low,True,True,7.03046377748251
cosmetics-organic,0a209fab-2131-4c19-b025-cf8d5d9adfc5,opencv,downscale_75,True,True,7.266035303473473
cosmetics-organic,0a209fab-2131-4c19-b025-cf8d5d9adfc5,zbar,downscale_75,True,True,7.302120327949524
cosmetics-organic,0a209fab-2131-4c19-b025-cf8d5d9adfc5,opencv,noise_gaussian,True,True,9.284952655434608
cosmetics-organic,0a209fab-2131-4c19-b025-cf8d5d9adfc5,zbar,noise_gaussian,True,True,10.608849115669727
cosmetics-organic,0a209fab-2131-4c19-b025-cf8d5d9adfc5,opencv,rotation_3,True,True,9.388103149831295
cosmetics-organic,0a209fab-2131-4c19-b025-cf8d5d9adfc5,zbar,rotation_3,True,True,7.128657773137093
cosmetics-organic,0a209fab-2131-4c19-b025-cf8d5d9adfc5,opencv,print_dot_gain,True,True,10.947412811219692
cosmetics-organic,0a209fab-2131-4c19-b025-cf8d5d9adfc5,zbar,print_dot_gain,True,True,4.742007702589035
cosmetics-organic,0a209fab-2131-4c19-b025-cf8d5d9adfc5,opencv,print_dot_loss,True,True,7.0952437818050385
cosmetics-organic,0a209fab-2131-4c19-b025-cf8d5d9adfc5,zbar,print_dot_loss,True,True,4.455189220607281
cosmetics-organic,0a209fab-2131-4c19-b025-cf8d5d9adfc5,opencv,perspective_mild,True,True,8.730693720281124
cosmetics-organic,0a209fab-2131-4c19-b025-cf8d5d9adfc5,zbar,perspective_mild,True,True,6.300034932792187
industrial-technical,44f71a20-cf22-47ad-a18e-c38e0ea6f3b7,opencv,original,True,True,9.485063143074512
industrial-technical,44f71a20-cf22-47ad-a18e-c38e0ea6f3b7,zbar,original,True,True,6.97547011077404
industrial-technical,44f71a20-cf22-47ad-a18e-c38e0ea6f3b7,opencv,jpeg_90,True,True,9.276567958295345
industrial-technical,44f71a20-cf22-47ad-a18e-c38e0ea6f3b7,zbar,jpeg_90,True,True,7.542050443589687
industrial-technical,44f71a20-cf22-47ad-a18e-c38e0ea6f3b7,opencv,jpeg_70,True,True,9.261570870876312
industrial-technical,44f71a20-cf22-47ad-a18e-c38e0ea6f3b7,zbar,jpeg_70,True,True,8.261010982096195
industrial-technical,44f71a20-cf22-47ad-a18e-c38e0ea6f3b7,opencv,blur_3,True,True,8.610958233475685
industrial-technical,44f71a20-cf22-47ad-a18e-c38e0ea6f3b7,zbar,blur_3,True,True,5.784026347100735
industrial-technical,44f71a20-cf22-47ad-a18e-c38e0ea6f3b7,opencv,brightness_low,True,True,9.227811358869076
industrial-technical,44f71a20-cf22-47ad-a18e-c38e0ea6f3b7,zbar,brightness_low,True,True,6.628028117120266
industrial-technical,44f71a20-cf22-47ad-a18e-c38e0ea6f3b7,opencv,brightness_high,True,True,8.233965374529362
industrial-technical,44f71a20-cf22-47ad-a18e-c38e0ea6f3b7,zbar,brightness_high,True,True,6.267574615776539
industrial-technical,44f71a20-cf22-47ad-a18e-c38e0ea6f3b7,opencv,contrast_low,True,True,9.241527877748013
industrial-technical,44f71a20-cf22-47ad-a18e-c38e0ea6f3b7,zbar,contrast_low,True,True,6.662487052381039
industrial-technical,44f71a20-cf22-47ad-a18e-c38e0ea6f3b7,opencv,downscale_75,True,True,8.642013184726238
industrial-technical,44f71a20-cf22-47ad-a18e-c38e0ea6f3b7,zbar,downscale_75,True,True,7.131095044314861
industrial-technical,44f71a20-cf22-47ad-a18e-c38e0ea6f3b7,opencv,noise_gaussian,True,True,9.425998665392399
industrial-technical,44f71a20-cf22-47ad-a18e-c38e0ea6f3b7,zbar,noise_gaussian,True,True,10.797196999192238
industrial-technical,44f71a20-cf22-47ad-a18e-c38e0ea6f3b7,opencv,rotation_3,True,True,9.616740047931671
industrial-technical,44f71a20-cf22-47ad-a18e-c38e0ea6f3b7,zbar,rotation_3,True,True,6.301448680460453
industrial-technical,44f71a20-cf22-47ad-a18e-c38e0ea6f3b7,opencv,print_dot_gain,True,True,11.048303917050362
industrial-technical,44f71a20-cf22-47ad-a18e-c38e0ea6f3b7,zbar,print_dot_gain,True,True,4.582987166941166
industrial-technical,44f71a20-cf22-47ad-a18e-c38e0ea6f3b7,opencv,print_dot_loss,True,True,6.873792037367821
industrial-technical,44f71a20-cf22-47ad-a18e-c38e0ea6f3b7,zbar,print_dot_loss,True,True,3.868311643600464
industrial-technical,44f71a20-cf22-47ad-a18e-c38e0ea6f3b7,opencv,perspective_mild,True,True,9.147999808192253
industrial-technical,44f71a20-cf22-47ad-a18e-c38e0ea6f3b7,zbar,perspective_mild,True,True,5.606978200376034
dense-payload,c4e1e5c1-9069-472d-904d-f15c82a78447,opencv,original,True,True,8.80602840334177
dense-payload,c4e1e5c1-9069-472d-904d-f15c82a78447,zbar,original,True,True,9.675835259258747
dense-payload,c4e1e5c1-9069-472d-904d-f15c82a78447,opencv,jpeg_90,True,True,8.584389463067055
dense-payload,c4e1e5c1-9069-472d-904d-f15c82a78447,zbar,jpeg_90,True,True,10.355777107179165
dense-payload,c4e1e5c1-9069-472d-904d-f15c82a78447,opencv,jpeg_70,True,True,8.47590621560812
dense-payload,c4e1e5c1-9069-472d-904d-f15c82a78447,zbar,jpeg_70,True,True,10.68930234760046
dense-payload,c4e1e5c1-9069-472d-904d-f15c82a78447,opencv,blur_3,True,True,8.816764689981937
dense-payload,c4e1e5c1-9069-472d-904d-f15c82a78447,zbar,blur_3,True,True,7.424495182931423
dense-payload,c4e1e5c1-9069-472d-904d-f15c82a78447,opencv,brightness_low,True,True,8.510802872478962
dense-payload,c4e1e5c1-9069-472d-904d-f15c82a78447,zbar,brightness_low,True,True,9.473872371017933
dense-payload,c4e1e5c1-9069-472d-904d-f15c82a78447,opencv,brightness_high,True,True,8.01527127623558
dense-payload,c4e1e5c1-9069-472d-904d-f15c82a78447,zbar,brightness_high,True,True,8.762876503169537
dense-payload,c4e1e5c1-9069-472d-904d-f15c82a78447,opencv,contrast_low,True,True,8.53025820106268
dense-payload,c4e1e5c1-9069-472d-904d-f15c82a78447,zbar,contrast_low,True,True,9.422508999705315
dense-payload,c4e1e5c1-9069-472d-904d-f15c82a78447,opencv,downscale_75,True,True,7.040220312774181
dense-payload,c4e1e5c1-9069-472d-904d-f15c82a78447,zbar,downscale_75,True,True,9.355348534882069
dense-payload,c4e1e5c1-9069-472d-904d-f15c82a78447,opencv,noise_gaussian,True,True,8.708345703780651
dense-payload,c4e1e5c1-9069-472d-904d-f15c82a78447,zbar,noise_gaussian,True,True,12.509980238974094
dense-payload,c4e1e5c1-9069-472d-904d-f15c82a78447,opencv,rotation_3,True,True,8.513793349266052
dense-payload,c4e1e5c1-9069-472d-904d-f15c82a78447,zbar,rotation_3,True,True,9.43571887910366
dense-payload,c4e1e5c1-9069-472d-904d-f15c82a78447,opencv,print_dot_gain,True,True,12.904761359095573
dense-payload,c4e1e5c1-9069-472d-904d-f15c82a78447,zbar,print_dot_gain,True,True,5.79311978071928
dense-payload,c4e1e5c1-9069-472d-904d-f15c82a78447,opencv,print_dot_loss,True,True,7.044524885714054
dense-payload,c4e1e5c1-9069-472d-904d-f15c82a78447,zbar,print_dot_loss,True,True,5.436258390545845
dense-payload,c4e1e5c1-9069-472d-904d-f15c82a78447,opencv,perspective_mild,True,True,7.753187790513039
dense-payload,c4e1e5c1-9069-472d-904d-f15c82a78447,zbar,perspective_mild,True,True,8.516030386090279
