case,run_id,attempt,seed,variant,decoder,scenario,outcome
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,raw,opencv,original,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,raw,zbar,original,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,raw,opencv,jpeg_90,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,raw,zbar,jpeg_90,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,raw,opencv,jpeg_70,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,raw,zbar,jpeg_70,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,raw,opencv,blur_3,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,raw,zbar,blur_3,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,raw,opencv,brightness_low,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,raw,zbar,brightness_low,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,raw,opencv,brightness_high,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,raw,zbar,brightness_high,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,raw,opencv,contrast_low,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,raw,zbar,contrast_low,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,raw,opencv,downscale_75,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,raw,zbar,downscale_75,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,raw,opencv,noise_gaussian,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,raw,zbar,noise_gaussian,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,raw,opencv,rotation_3,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,raw,zbar,rotation_3,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,raw,opencv,print_dot_gain,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,raw,zbar,print_dot_gain,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,raw,opencv,print_dot_loss,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,raw,zbar,print_dot_loss,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,raw,opencv,perspective_mild,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,raw,zbar,perspective_mild,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,guided,opencv,original,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,guided,zbar,original,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,guided,opencv,jpeg_90,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,guided,zbar,jpeg_90,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,guided,opencv,jpeg_70,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,guided,zbar,jpeg_70,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,guided,opencv,blur_3,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,guided,zbar,blur_3,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,guided,opencv,brightness_low,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,guided,zbar,brightness_low,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,guided,opencv,brightness_high,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,guided,zbar,brightness_high,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,guided,opencv,contrast_low,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,guided,zbar,contrast_low,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,guided,opencv,downscale_75,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,guided,zbar,downscale_75,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,guided,opencv,noise_gaussian,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,guided,zbar,noise_gaussian,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,guided,opencv,rotation_3,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,guided,zbar,rotation_3,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,guided,opencv,print_dot_gain,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,guided,zbar,print_dot_gain,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,guided,opencv,print_dot_loss,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,guided,zbar,print_dot_loss,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,guided,opencv,perspective_mild,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,guided,zbar,perspective_mild,not_detected
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,guided_latent_srl,opencv,original,not_detected
