case,run_id,attempt,seed,variant,status,exact_payload_match,artifact_available,failure_count,scan_pass_rate,module_error_rate,changed_pixel_ratio,mean_absolute_change,entropy_bits,clipped_pixel_ratio,brightness_mean,contrast_std,sharpness_laplacian
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,raw,rejected,False,True,26,0.0,0.068642,0.0,0.0,7.116386645119599,0.1065521240234375,0.5673613155589384,0.7319850403322381,2365.8632277086726
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,guided,rejected,False,True,26,0.0,0.107654,0.4074897766113281,0.051303723902484166,7.235644875127496,0.09656524658203125,0.5477926964853325,0.7094589043829049,2023.2494950285181
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,guided_latent_srl,rejected,False,True,26,0.0,0.102716,0.5748062133789062,0.0616488039103988,7.153389754059259,0.1351318359375,0.5445533902037377,0.7068808231074714,2080.171244140656
botanical-short,717be99f-7636-413e-9177-6d71851506d5,1,42,guided_latent_rounded_16,accepted,True,False,0,1.0,0.0,0.7104263305664062,0.12125898373672385,5.7870579383965355,0.5085983276367188,0.622315455418007,0.836729820756871,3813.8140093521065
wine-label,5377002e-03e6-4e0a-bd05-a583f60b7010,1,137,raw,rejected,False,True,26,0.0,0.088889,0.0,0.0,7.254117441591241,0.11202621459960938,0.5677312364765242,0.7364919875523642,2095.469843495506
wine-label,5377002e-03e6-4e0a-bd05-a583f60b7010,1,137,guided,rejected,False,True,26,0.0,0.114568,0.3305206298828125,0.04204673517763225,7.245851789272351,0.11054611206054688,0.5564103220023361,0.7323863210931801,1711.477184113115
wine-label,5377002e-03e6-4e0a-bd05-a583f60b7010,1,137,guided_latent_srl,rejected,False,True,26,0.0,0.114074,0.4500236511230469,0.04968585843354269,7.252789165605974,0.10997390747070312,0.5537190156824449,0.7220430797510912,1642.3182903169072
wine-label,5377002e-03e6-4e0a-bd05-a583f60b7010,1,137,guided_latent_rounded_16,rejected,True,False,2,0.923077,0.0,0.7138175964355469,0.11633722641888787,5.872401714007894,0.4924888610839844,0.6186731675091912,0.8294008466566177,3772.9553080679466
wine-label,5377002e-03e6-4e0a-bd05-a583f60b7010,1,137,guided_latent_rounded_32,accepted,True,False,0,1.0,0.0,0.7266769409179688,0.12256388944738052,4.675980067649901,0.6202735900878906,0.6229690102969899,0.8440834963333972,3759.1295776367188
geometric-packaging,a9f8dfee-afe3-4d68-a84e-de44ad2a4829,1,2026,raw,rejected,False,True,26,0.0,0.142024,0.0,0.0,6.70711642868072,0.16321945190429688,0.5370485043993183,0.7681812593873286,3292.5125589226227
geometric-packaging,a9f8dfee-afe3-4d68-a84e-de44ad2a4829,1,2026,guided,rejected,False,True,26,0.0,0.155768,0.2891426086425781,0.039756769915811375,6.791617524098644,0.1452789306640625,0.5218347437241498,0.7502702074324549,2868.0684693767107
